Gene_ID,CON_3.06,CON_3.13,CON_3.17,CON_3.18,SG_3.36,SG_3.63,SG_3.72,SG_3.80,FOBS_3.28,FOBS_3.38,FOBS_3.75,FOBS_3.83,DIO_3.56,DIO_3.61,DIO_3.81,DIO_3.88,FOBS vs SG log2FoldChange,FOBS vs SG stat,FOBS vs SG pvalue,FOBS vs SG padj,FOBS vs CON log2FoldChange,FOBS vs CON stat,FOBS vs CON pvalue,FOBS vs CON padj,FOBS vs DIO log2FoldChange,FOBS vs DIO stat,FOBS vs DIO pvalue,FOBS vs DIO padj,SG vs CON log2FoldChange,SG vs CON stat,SG vs CON pvalue,SG vs CON padj,SG vs DIO log2FoldChange,SG vs DIO stat,threshold,SG vs DIO padj,CON vs DIO log2FoldChange,CON vs DIO stat,CON vs DIO pvalue,CON vs DIO padj,h1.baseMean,h1.log2FoldChange,h1.lfcSE,h1.stat,h1.pvalue,h1.padj,h2.baseMean,h2.log2FoldChange,h2.lfcSE,h2.stat,h2.pvalue,h2.padj,h3.baseMean,h3.log2FoldChange,h3.lfcSE,h3.stat,h3.pvalue,h3.padj
1810021B22Rik,99.2407433846951,66.1179054361788,128.897161148419,113.60491394037,75.1749609823473,95.0904883746307,123.716670773461,79.3858425826327,56.3090953074601,109.737998727529,91.2436756301763,97.8974783118946,37.5033459831191,59.3997135239909,47.0492972636587,51.3417034207396,1.6478678E-2,7.0725307000000001E-2,0.94361637899999995,0.97339250899999996,0.179287101,0.76373259800000004,0.44502660999999999,0.99985749700000004,-0.73606543899999999,-3.0677826100000001,2.1565339999999999E-3,0.10376736,0.15006646700000001,0.58891041700000002,0.555921369,0.73777485200000004,-0.81052823600000001,-3.4671540030000001,5.26e-4,2.5522117E-2,-0.92095227099999999,-3.6883805989999998,2.2568600000000001E-4,3.0249005999999998E-2,84.58532593,-0.40823126999999998,0.19098912700000001,-2.1374581699999999,3.2560745000000002E-2,0.36812175800000002,72.48791116,-0.81052823600000001,0.23377335899999999,-3.4671540030000001,5.2599999999999999E-4,2.5522117E-2,70.20177417,-0.73606543899999999,0.23993402799999999,-3.0677826100000001,2.1565339999999999E-3,0.10376736
2310022B05Rik,2510.31894989827,1744.77854478209,2213.0828822038,1966.6512900669,1562.19576485698,1830.49084515923,1563.32909817523,1834.94423702728,2136.61615160188,2001.97580201432,2647.00561240185,2445.43979868073,1964.23872798523,3119.0260915965,3833.01289153262,2226.21029196654,-0.48731478499999997,-3.9906224629999998,6.5900000000000003E-5,1.267352E-3,-9.0439288000000007E-2,-0.55654880799999995,0.57783573899999996,0.99985749700000004,0.25058790600000003,1.059039142,0.28958195399999997,0.91597327100000003,0.34670452000000002,2.2080917339999999,2.7237879E-2,0.18578929599999999,0.67076225899999997,2.861991535,0.004209882,8.7539778999999998E-2,0.34334182499999999,1.398213784,0.16204887900000001,0.71482852600000002,2271.817681,0.38544546299999999,0.15134851599999999,2.5467409509999999,1.0873412000000001E-2,0.24143568300000001,2308.512154,0.67076225899999997,0.23436905799999999,2.861991535,4.2098819999999999E-3,8.7539778999999998E-2,2618.618625,0.25058790600000003,0.23661817199999999,1.059039142,0.28958195399999997,0.91597327100000003
2310061I04Rik,1281.62349171622,1237.87455412848,1634.08416358992,1618.33516148341,1254.2882153551,1221.54617364854,1663.52857558393,1364.44486013364,1043.80274653117,1498.7630596223,1172.0573055271,1307.63140304289,1063.22123405733,919.076322842381,983.029037396563,1143.82642717871,7.4651732999999998E-2,0.49974342999999999,0.61725574800000005,0.780811904,0.21076151000000001,1.379474855,0.167748394,0.90799851300000001,-0.27309256700000001,-2.0019806070000001,4.5286817E-2,0.50779949999999996,0.103815878,0.63811105499999998,0.52340139100000005,0.71295573999999995,-0.38438560700000002,-2.7338397319999999,0.006260051,0.10684244499999999,-0.48264226500000001,-3.4176958449999999,6.3153600000000003E-4,5.3107505999999999E-2,1294.975112,-0.28534785099999999,0.106322503,-2.6837954480000001,7.279163E-3,0.20396955999999999,1224.999452,-0.38438560700000002,0.14060283100000001,-2.7338397319999999,6.260051E-3,0.10684244499999999,1164.87713,-0.27309256700000001,0.13641119500000001,-2.0019806070000001,4.5286817E-2,0.50779949999999996
2410004P03Rik,33.0802752042544,22.0392712019097,17.6714096422233,15.0044347288553,21.6256170545367,18.2865989714853,14.3143279100414,12.8135663587288,46.688848132916,25.7043786905782,9.40655867946641,18.9801091773439,22.501971961675,58.319793939583,64.0670736636427,22.7250536603056,-0.43363109799999999,-1.2650483109999999,0.20585401,0.41224591500000002,-8.6817966999999996E-2,-0.30312081699999999,0.76179779000000003,0.99985749700000004,0.418601063,1.2265408870000001,0.219995199,0.86760229099999997,0.36893704100000002,1.1229929489999999,0.261440489,0.487111507,0.94317636199999999,2.7515454109999999,0.00593148,0.10384753200000001,0.60056137200000004,1.770013726,7.6724853999999995E-2,0.55374268699999996,27.16371812,0.51291988700000002,0.23615992699999999,2.1719175339999999,2.9861884000000002E-2,0.35792368299999999,30.38034641,0.94317636199999999,0.34278059100000002,2.7515454109999999,5.9314800000000003E-3,0.10384753200000001,34.76848041,0.418601063,0.34128586100000002,1.2265408870000001,0.219995199,0.86760229099999997
2810430I11Rik,83.5285001823475,77.1375777693135,35.3427984945652,68.7380529321553,36.0427500131802,40.7672803761811,39.875627749401,79.6966884737122,41.7104177960346,22.0279621913194,131.134953238705,66.4624185808115,71.4856323130643,104.16553550363,127.513497551169,106.05009330351,-0.30038249900000003,-0.86515080499999997,0.38695602299999998,0.60022950799999997,2.5436983E-2,8.8788890999999995E-2,0.92924968600000002,0.99985749700000004,0.41493757399999998,1.2517610990000001,0.21065692899999999,0.85933261900000002,0.39265672099999999,1.2282653320000001,0.21934738100000001,0.44291122700000002,0.88918808400000005,3.1234745570000002,0.001787293,5.3222598000000003E-2,0.498873658,1.789649555,7.3510267000000004E-2,0.54075847200000005,72.03251125,0.36760549399999998,0.22961751,1.60094713,0.10938863,0.56754030200000005,77.78220523,0.88918808400000005,0.28467915100000002,3.1234745570000002,1.7872929999999999E-3,5.3222598000000003E-2,85.82034281,0.41493757399999998,0.33148304000000001,1.2517610990000001,0.21065692899999999,0.85933261900000002
2900026A02Rik,4026.98258413124,3221.90806079461,5713.90141743856,4347.48898752305,3269.84977083858,3094.46214603242,3067.97967643923,2996.52827253696,4592.51512382795,3517.21938348261,4004.01458061903,4092.41553237556,3623.19069118799,5426.46820221931,5609.36260317946,4213.94254078534,-0.43238680499999999,-3.9391281889999998,8.1799999999999996E-5,1.5136290000000001E-3,0.105816935,0.57846485999999997,0.56295031500000003,0.99985749700000004,0.21016827599999999,1.0752663689999999,0.28225548900000003,0.91178994800000002,0.49469518600000001,2.7431549500000001,6.0851960000000002E-3,0.10865755000000001,0.59575597599999996,3.2537809420000001,0.001138801,4.1194276000000002E-2,0.105707418,0.46797612700000002,0.63980166199999999,0.93087862600000004,4131.315722,0.22146811,0.14958982100000001,1.4805025409999999,0.13873918299999999,0.61352684999999996,4017.623213,0.59575597599999996,0.18309652300000001,3.2537809420000001,1.138801E-3,4.1194276000000002E-2,4500.99831,0.21016827599999999,0.19545694199999999,1.0752663689999999,0.28225548900000003,0.91178994800000002
3110062M04Rik,3274.51549966146,2855.12082530706,4662.26657303908,2682.09422922384,2610.28083290453,2142.19255912889,2594.00919237175,2558.5379334306,3943.07021687144,2827.31220477719,3050.46396687061,2745.92948737579,2874.24470021832,4409.13101234312,3485.54962223398,3183.49177702189,-0.384163908,-2.5074887029999999,1.2159247E-2,6.4798170000000002E-2,0.106895447,0.53295892499999997,0.59406201400000003,0.99985749700000004,0.14266419399999999,0.73129516000000006,0.46459888599999999,0.971276374,0.45648019499999998,2.3261585089999999,2.0010096000000002E-2,0.16965280099999999,0.49247108899999997,2.8367592410000002,0.004557396,9.2248973999999997E-2,3.5659772999999999E-2,0.16172394700000001,0.87152324599999997,0.97589317399999997,3177.047683,0.169392548,0.14838767899999999,1.141553992,0.25363945700000001,0.73833770200000004,3055.380783,0.49247108899999997,0.17360341400000001,2.8367592410000002,4.557396E-3,9.2248973999999997E-2,3396.775545,0.14266419399999999,0.195084286,0.73129516000000006,0.46459888599999999,0.971276374
4731419I09Rik,1827.92995191746,1044.16731164733,1458.09833671549,1158.29866389793,1026.36055792532,1108.58987518569,880.236078432142,1254.33945848029,2753.40895476074,1399.96932047329,1607.52443896873,1404.17992361747,1106.09611196468,2328.22121796433,2184.08658311462,1521.86092227573,-0.71938731899999997,-3.1270476039999999,1.7657129999999999E-3,1.5949932999999999E-2,-0.273591431,-1.1317340570000001,0.25774625899999998,0.97529143500000004,4.1494410000000002E-3,1.4823374E-2,0.98817309200000003,0.99916006000000002,0.38371986200000002,1.780138647,7.5053273000000004E-2,0.27320733899999999,0.67981651600000004,2.7313585699999998,0.006307381,0.106885522,0.30692766100000002,1.1425143010000001,0.253240305,0.80534934499999999,1537.344459,0.47240872,0.179953477,2.6251713909999999,8.6605359999999999E-3,0.21745926300000001,1467.139228,0.67981651600000004,0.24889317899999999,2.7313585699999998,6.3073809999999999E-3,0.106885522,1839.005527,4.1494410000000002E-3,0.27992552900000001,1.4823374E-2,0.98817309200000003,0.99916006000000002
4930486L24Rik,170.127037267202,137.74567458806,177.753486546196,117.89190294679,160.647685773032,160.92227210191,110.424815306033,144.030159892251,381.650322833717,124.567383236447,109.11608068181,127.866133264352,162.202052478016,313.198603380535,340.356328838102,187.69183179907,-0.32297318699999999,-1.0166175399999999,0.30933540700000001,0.524205845,-0.172432264,-0.61819533800000004,0.53644658300000003,0.99985749700000004,0.28882114199999998,0.88280892700000002,0.37733951599999999,0.94745304399999997,0.10471298900000001,0.52078053700000004,0.60251966300000004,0.77122675600000001,0.710368844,2.6393484169999999,0.008306556,0.125062484,0.60085172399999998,2.2113564769999998,2.7011160999999999E-2,0.37319784499999997,187.1068604,0.44324128499999998,0.21035765400000001,2.1070841800000002,3.5110282999999999E-2,0.37562727299999998,203.4618642,0.710368844,0.26914553600000002,2.6393484169999999,8.3065559999999997E-3,0.125062484,225.4080233,0.28882114199999998,0.32716155499999999,0.88280892700000002,0.37733951599999999,0.94745304399999997
4933428G20Rik,144.649568286232,115.536480321978,161.013473988652,97.0630830575228,132.128602376888,132.728872895874,109.732615306384,124.150157022856,193.96804139779,128.278700352872,180.834506021666,177.624040279175,127.840532123873,274.323096734722,297.112055163169,196.777631459477,-0.48217369599999998,-2.8317870420000002,4.6288670000000001E-3,3.2702334E-2,-0.31039799800000001,-1.5216803350000001,0.12808919699999999,0.85434738600000004,0.33411553999999999,1.2506401579999999,0.211065792,0.85933261900000002,9.8004601999999996E-2,0.49855454399999999,0.61809323500000002,0.78245769399999998,0.75632900700000005,2.8732300629999998,0.004062981,8.6103154000000001E-2,0.63715829800000001,2.2981058089999999,2.1555767999999999E-2,0.33690283599999998,165.5014104,0.55890838799999998,0.16823539500000001,3.3221807370000001,8.9316799999999996E-4,8.5663843000000003E-2,179.5070542,0.75632900700000005,0.26323301300000002,2.8732300629999998,4.0629810000000002E-3,8.6103154000000001E-2,202.8305378,0.33411553999999999,0.26715561500000001,1.2506401579999999,0.211065792,0.85933261900000002
